,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,La Palma,US,37.76,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
1,Buraydah,SA,36.25,clear sky,26.326,43.975,Mövenpick Qassim
2,Bilma,NE,33.98,clear sky,18.6853,12.9164,Expeditions Ténére voyages
3,Sur,OM,31.03,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
4,Saint George,US,39.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
5,Namie,JP,32.06,overcast clouds,37.4833,141.0,いこいの村なみえ
6,Cabo San Lucas,MX,31.14,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
7,Hilo,US,30.71,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
8,Itoman,JP,32.21,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
9,Kalispell,US,30.38,clear sky,48.1958,-114.3129,Red Lion Hotel Kalispell
10,Hirara,JP,30.92,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
11,Bayji,IQ,32.61,clear sky,34.9311,43.487,دار الضيافة
12,Bajil,YE,30.5,overcast clouds,15.0584,43.2851,فندق حضرموت
13,Hasaki,JP,32.38,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
14,Mayo,US,30.09,clear sky,38.8876,-76.5119,Resorts Resource Group International
15,Atar,MR,34.69,clear sky,20.5169,-13.0499,Oumou Elghoura
16,Twentynine Palms,US,37.3,overcast clouds,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
17,Bairiki,KI,30.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
18,Nishihara,JP,31.81,scattered clouds,26.1842,127.7558,Minshuku Agaihama
19,Kailua,US,31.99,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
20,Cedar City,US,30.54,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
21,Hope,US,34.03,overcast clouds,33.6671,-93.5916,Best Western Hope
22,Portland,US,38.49,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
23,Enid,US,35.09,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
24,Nanchang,CN,30.56,broken clouds,28.6833,115.8833,Ruidu Hotel
25,San Patricio,US,30.97,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
26,Kimbe,PG,32.49,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
27,Lillooet,CA,33.95,clear sky,50.6856,-121.942,Hotel Victoria
28,Yichang,CN,35.71,scattered clouds,30.7144,111.2847,Gezhouba Hotel
29,Bima,ID,30.43,few clouds,-8.4667,118.7167,Lambitu Hotel
30,Minggang,CN,33.2,overcast clouds,32.4586,114.0486,Yindu Hotel
31,Springfield,US,30.06,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
32,Meadow Lake,US,30.64,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
33,Changqing,CN,31.77,moderate rain,36.5575,116.7272,Hanting Hotel Jinan Changqing West Jingshi Road
34,Tongren,CN,31.35,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
35,Hays,US,31.49,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
36,Caldwell,US,35.64,haze,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
37,Sakakah,SA,34.76,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
38,Ishigaki,JP,32.07,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
39,Lake Havasu City,US,42.34,clear sky,34.4839,-114.3224,Heat Hotel
40,Jiaojiang,CN,33.89,broken clouds,28.6803,121.4428,Fangyuan Hotel
41,Lengshuijiang,CN,33.29,broken clouds,27.6881,111.4294,Sheraton
42,Kopaganj,IN,31.39,clear sky,26.0233,83.5658,अब्दुर्रहमान मंज़िल
43,Kifri,IQ,34.1,clear sky,34.6959,44.9661,بيت نزهان الحديدي
44,Kahului,US,34.01,few clouds,20.8947,-156.47,Maui Seaside Hotel
45,Suicheng,CN,33.38,overcast clouds,33.8963,117.9331,Junyue Hotel
46,Del Rio,US,37.06,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
