,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ljubinje,BA,42.9508,18.0886,27.35,74,0,3.26,clear sky
1,Mataura,NZ,-46.1927,168.8643,5.82,68,7,4.23,clear sky
2,Hermanus,ZA,-34.4187,19.2345,13.92,84,19,1.74,few clouds
3,Santiago De Cao,PE,-7.9589,-79.2392,16.07,82,40,5.66,fog
4,Busselton,AU,-33.65,115.3333,13.94,86,92,10.24,light rain
5,Ushuaia,AR,-54.8,-68.3,2.81,65,0,4.63,clear sky
6,La Palma,US,33.8464,-118.0467,37.76,53,0,4.63,clear sky
7,Dikson,RU,73.5069,80.5464,5.61,100,100,2.76,overcast clouds
8,Butaritari,KI,3.0707,172.7902,27.72,72,90,6.67,overcast clouds
9,Bengkulu,ID,-3.8004,102.2655,25.48,79,15,2.18,few clouds
10,Pangkalanbuun,ID,-2.6833,111.6167,26.87,70,15,1.78,few clouds
11,Rikitea,PF,-23.1203,-134.9692,22.23,73,100,15.22,light rain
12,Barrow,US,71.2906,-156.7887,8.01,76,100,7.72,overcast clouds
13,Georgetown,MY,5.4112,100.3354,28.96,87,20,2.06,few clouds
14,Albany,US,42.6001,-73.9662,26.47,82,0,2.04,clear sky
15,Arraial Do Cabo,BR,-22.9661,-42.0278,21.29,91,99,2.93,overcast clouds
16,Nikolskoye,RU,59.7035,30.7861,14.89,80,100,1.8,overcast clouds
17,Cintalapa,MX,16.6951,-93.7272,21.79,87,96,2.79,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,18.77,79,0,1.36,clear sky
19,Faanui,PF,-16.4833,-151.75,24.73,71,61,11.49,broken clouds
20,Coffs Harbour,AU,-30.3,153.1333,17.98,48,3,9.26,clear sky
21,Luderitz,NA,-26.6481,15.1594,13.21,73,0,3.76,clear sky
22,Walvis Bay,NA,-22.9575,14.5053,8.53,87,11,2.06,few clouds
23,Kirakira,SB,-10.4544,161.9205,28.39,71,65,3.6,broken clouds
24,Provideniya,RU,64.3833,-173.3,5.2,65,100,8.05,overcast clouds
25,Bluff,NZ,-46.6,168.3333,6.0,54,22,9.43,few clouds
26,Hithadhoo,MV,-0.6,73.0833,27.35,70,100,1.88,overcast clouds
27,Kodiak,US,57.79,-152.4072,18.73,45,0,3.09,clear sky
28,Beringovskiy,RU,63.05,179.3167,8.97,50,89,9.05,overcast clouds
29,Morehead,US,37.2711,-87.1764,25.44,92,0,0.0,clear sky
30,Ndele,CF,8.4109,20.6473,21.01,97,99,1.88,overcast clouds
31,Sao Francisco De Assis,BR,-29.5503,-55.1311,12.2,89,100,7.27,overcast clouds
32,La Ronge,CA,55.1001,-105.2842,24.14,43,75,1.54,broken clouds
33,Laela,TZ,-8.5667,32.05,11.52,66,7,1.4,clear sky
34,Thompson,CA,55.7435,-97.8558,23.09,49,75,5.66,broken clouds
35,Lavrentiya,RU,65.5833,-171.0,3.02,84,100,5.73,light rain
36,Santa Marta,CO,11.2408,-74.199,28.03,74,40,1.54,scattered clouds
37,Safford,US,32.834,-109.7076,26.51,53,75,8.23,light rain
38,Vaini,TO,-21.2,-175.2,27.09,89,20,4.63,few clouds
39,Kaeo,NZ,-35.1,173.7833,16.29,97,50,2.5,scattered clouds
40,Buraydah,SA,26.326,43.975,36.25,20,1,4.7,clear sky
41,San Cristobal,VE,7.7669,-72.225,23.1,94,99,1.2,overcast clouds
42,Constitucion,CL,-35.3333,-72.4167,8.63,87,0,3.71,clear sky
43,Palmeira,BR,-25.4294,-50.0064,13.54,98,100,2.23,overcast clouds
44,San Juan,AR,-31.5375,-68.5364,5.53,79,100,3.69,overcast clouds
45,Tarakan,ID,3.3,117.6333,28.72,79,20,1.54,few clouds
46,Cherskiy,RU,68.75,161.3,9.75,51,56,1.54,broken clouds
47,Lata,PT,40.1629,-8.3327,15.52,90,0,0.98,clear sky
48,Manono,CD,-7.3,27.4167,21.27,31,0,1.87,clear sky
49,Qaanaaq,GL,77.484,-69.3632,4.77,54,6,2.31,clear sky
50,Jamestown,US,42.097,-79.2353,25.4,54,40,2.57,scattered clouds
51,Avarua,CK,-21.2078,-159.775,24.03,64,40,5.66,scattered clouds
52,Atuona,PF,-9.8,-139.0333,25.37,65,49,7.48,scattered clouds
53,Samarkand,UZ,39.6542,66.9597,24.03,24,0,1.32,clear sky
54,Dingle,PH,10.9995,122.6711,26.87,82,99,1.79,overcast clouds
55,Chokurdakh,RU,70.6333,147.9167,14.01,36,99,7.81,overcast clouds
56,Nanortalik,GL,60.1432,-45.2371,6.87,81,13,2.54,few clouds
57,Belmonte,BR,-15.8631,-38.8828,22.41,76,6,3.77,clear sky
58,Bilma,NE,18.6853,12.9164,33.98,29,5,3.61,clear sky
59,Ponta Do Sol,PT,32.6667,-17.1,21.51,83,0,1.59,clear sky
60,Bambous Virieux,MU,-20.3428,57.7575,19.01,94,40,2.57,scattered clouds
61,Castro,BR,-24.7911,-50.0119,13.53,97,100,2.36,heavy intensity rain
62,New Norfolk,AU,-42.7826,147.0587,9.95,58,4,1.06,clear sky
63,Brattvag,NO,62.6002,6.4434,14.6,88,100,4.63,overcast clouds
64,Xam Nua,LA,20.4197,104.0439,21.54,97,100,0.63,overcast clouds
65,Mar Del Plata,AR,-38.0023,-57.5575,7.83,83,100,5.66,overcast clouds
66,Prescott,US,34.54,-112.4685,21.28,78,100,4.12,overcast clouds
67,Hobart,AU,-42.8794,147.3294,10.14,82,20,4.63,few clouds
68,Puerto Ayora,EC,-0.7393,-90.3518,19.75,96,68,4.51,broken clouds
69,Lebu,CL,-37.6167,-73.65,7.96,86,98,3.51,overcast clouds
70,Sur,OM,22.5667,59.5289,31.03,57,30,2.63,scattered clouds
71,Ribeira Grande,PT,38.5167,-28.7,23.42,82,15,6.97,few clouds
72,Lexington,US,37.9887,-84.4777,23.62,85,0,3.6,clear sky
73,Santa Clara,CU,22.4,-79.9667,26.81,83,40,3.09,scattered clouds
74,Srednekolymsk,RU,67.45,153.6833,19.45,30,78,6.83,broken clouds
75,Saint George,US,37.1041,-113.5841,39.79,12,0,5.66,clear sky
76,Fairbanks,US,64.8378,-147.7164,15.89,61,0,4.63,clear sky
77,Severo-Kurilsk,RU,50.6789,156.125,15.13,87,35,1.65,scattered clouds
78,Carnarvon,AU,-24.8667,113.6333,18.47,70,0,5.18,clear sky
79,Gambela,ET,8.25,34.5833,20.06,97,100,1.64,light rain
80,Olafsvik,IS,64.8945,-23.7142,10.32,83,60,9.4,broken clouds
81,Klaksvik,FO,62.2266,-6.589,11.51,98,100,6.62,overcast clouds
82,Kapaa,US,22.0752,-159.319,28.18,77,0,5.66,clear sky
83,Katima Mulilo,NA,-17.5,24.2667,14.45,34,0,2.66,clear sky
84,Sao Filipe,CV,14.8961,-24.4956,26.41,84,66,1.56,broken clouds
85,Verkhnevilyuysk,RU,63.4453,120.3167,14.4,79,100,1.76,overcast clouds
86,Vostok,RU,46.4856,135.8833,19.51,98,100,1.5,overcast clouds
87,Laem Sing,TH,12.4816,102.0738,26.19,90,100,5.02,moderate rain
88,Takoradi,GH,4.8845,-1.7554,23.28,78,53,5.39,broken clouds
89,Paciran,ID,-6.8767,112.3761,26.11,75,5,3.36,clear sky
90,Boa Vista,BR,2.8197,-60.6733,28.99,65,0,2.06,clear sky
91,Chuy,UY,-33.6971,-53.4616,8.48,88,6,2.94,clear sky
92,Namie,JP,37.4833,141.0,32.06,70,100,3.46,overcast clouds
93,Opuwo,NA,-18.0607,13.84,16.65,26,1,1.09,clear sky
94,Cabo San Lucas,MX,22.8909,-109.9124,31.14,75,75,0.45,broken clouds
95,Donskoye,RU,45.4552,41.9741,19.07,67,0,3.23,clear sky
96,Hilo,US,19.7297,-155.09,30.71,72,0,5.14,clear sky
97,Najran,SA,17.4924,44.1277,26.36,58,32,2.91,scattered clouds
98,Maceio,BR,-9.6658,-35.7353,21.69,88,20,1.03,few clouds
99,East London,ZA,-33.0153,27.9116,18.91,92,74,5.31,light rain
100,Vodstroy,RU,48.8416,44.5579,21.16,46,0,5.0,clear sky
101,Strezhevoy,RU,60.7333,77.5889,13.92,75,97,2.72,overcast clouds
102,Nitra,SK,48.3076,18.0845,16.08,81,44,1.96,scattered clouds
103,Mangrol,IN,21.1167,70.1167,27.27,88,100,3.89,overcast clouds
104,Bredasdorp,ZA,-34.5322,20.0403,13.94,90,100,0.98,overcast clouds
105,Upernavik,GL,72.7868,-56.1549,5.47,83,100,3.19,overcast clouds
106,Talnakh,RU,69.4865,88.3972,13.45,97,100,2.91,moderate rain
107,Leningradskiy,RU,69.3833,178.4167,0.63,93,99,9.41,overcast clouds
108,Airai,TL,-8.9266,125.4092,21.6,42,51,2.07,broken clouds
109,Hay River,CA,60.8156,-115.7999,17.99,63,75,1.54,broken clouds
110,Yellowknife,CA,62.456,-114.3525,17.29,77,75,1.54,broken clouds
111,Esperance,AU,-33.8667,121.9,12.56,79,9,7.1,clear sky
112,Pangnirtung,CA,66.1451,-65.7125,6.14,90,99,0.92,overcast clouds
113,Punta Arenas,CL,-53.15,-70.9167,3.06,81,75,5.14,broken clouds
114,Lagoa,PT,39.05,-27.9833,23.05,82,14,7.51,light rain
115,Codrington,AU,-38.2667,141.9667,10.93,63,2,2.32,clear sky
116,Port Alfred,ZA,-33.5906,26.891,15.1,99,61,6.71,very heavy rain
117,Sobolevo,RU,54.4299,31.8996,10.65,97,10,2.86,clear sky
118,Tabou,CI,4.423,-7.3528,22.7,83,27,4.09,scattered clouds
119,Itoman,JP,26.1247,127.6694,32.21,73,40,2.57,scattered clouds
120,Cape Town,ZA,-33.9258,18.4232,12.73,90,0,3.09,clear sky
121,Lima,PE,-12.0432,-77.0282,14.14,88,100,6.17,overcast clouds
122,Buncrana,IE,55.1333,-7.45,10.4,95,100,2.47,overcast clouds
123,Harwich,GB,51.9419,1.2844,17.34,82,15,0.89,few clouds
124,Chipoka,MW,-13.9933,34.5157,20.42,46,0,4.74,clear sky
125,Khatanga,RU,71.9667,102.5,13.92,66,41,2.8,scattered clouds
126,Careva Cuprija,BA,44.2658,18.4292,18.73,79,0,1.29,clear sky
127,San Andres,CO,12.5847,-81.7006,28.01,83,75,6.69,broken clouds
128,Beruwala,LK,6.4788,79.9828,25.35,87,100,4.1,overcast clouds
129,Tiksi,RU,71.6872,128.8694,9.08,99,100,2.68,moderate rain
130,Fortuna,US,40.5982,-124.1573,21.63,70,0,6.17,clear sky
131,Bondo,CD,3.8146,23.6866,19.82,99,98,0.89,overcast clouds
132,Aklavik,CA,68.2191,-135.0107,13.84,60,68,3.95,broken clouds
133,Coahuayana,MX,18.7333,-103.6833,27.69,79,72,1.59,broken clouds
134,Linhares,BR,-19.3911,-40.0722,21.53,88,3,3.18,clear sky
135,Fujin,CN,47.26,132.0322,22.36,69,31,6.85,scattered clouds
136,Saint-Louis,SN,16.3333,-15.0,30.01,55,0,4.44,clear sky
137,Sitka,US,57.0531,-135.33,13.94,82,100,1.54,haze
138,Iqaluit,CA,63.7506,-68.5145,5.85,86,75,1.03,broken clouds
139,Flinders,AU,-34.5833,150.8552,16.77,60,32,1.79,scattered clouds
140,Sadao,TH,6.6388,100.4234,25.9,84,100,1.18,overcast clouds
141,Yumen,CN,40.2833,97.2,21.94,47,100,3.91,overcast clouds
142,Port Elizabeth,ZA,-33.918,25.5701,15.61,100,100,10.29,moderate rain
143,Krasnoturansk,RU,54.3186,91.5639,14.92,65,26,0.6,scattered clouds
144,Babu,CN,24.4167,111.5167,29.91,69,55,0.96,broken clouds
145,Victoria,HK,22.2855,114.1577,28.87,94,44,7.63,moderate rain
146,Kruisfontein,ZA,-34.0033,24.7314,14.38,92,100,6.86,moderate rain
147,Port Lincoln,AU,-34.7333,135.8667,12.11,63,0,3.53,clear sky
148,Papara,BR,-3.9839,-38.7273,25.94,95,12,1.87,few clouds
149,Tuktoyaktuk,CA,69.4541,-133.0374,10.0,76,75,2.57,broken clouds
150,Mahebourg,MU,-20.4081,57.7,19.03,94,40,2.57,scattered clouds
151,Mount Pleasant,US,32.7941,-79.8626,27.22,87,40,2.68,scattered clouds
152,Muros,ES,42.7762,-9.0603,19.27,94,5,1.92,clear sky
153,Anadyr,RU,64.75,177.4833,8.28,49,40,11.0,scattered clouds
154,San Vicente,AR,-26.6167,-54.1333,13.75,100,100,1.02,overcast clouds
155,Shaghat,AM,39.5625,45.9143,14.91,91,30,2.21,scattered clouds
156,Saldanha,ZA,-33.0117,17.9442,12.03,84,34,5.68,scattered clouds
157,Bulaevo,KZ,54.9056,70.4439,15.5,80,100,3.68,overcast clouds
158,Baykit,RU,61.67,96.37,17.64,68,36,1.6,scattered clouds
159,Kalispell,US,48.1958,-114.3129,30.38,24,0,4.12,clear sky
160,Norman Wells,CA,65.282,-126.8329,16.02,72,75,4.63,broken clouds
161,Semnan,IR,35.5729,53.3971,27.91,30,0,1.03,clear sky
162,Bayburt,TR,40.2589,40.2278,12.82,92,14,0.15,few clouds
163,Newton,US,42.337,-71.2092,27.89,89,75,5.14,broken clouds
164,Rawson,AR,-43.3002,-65.1023,5.87,83,100,3.19,overcast clouds
165,Campo Grande,BR,-20.4428,-54.6464,18.75,100,75,0.51,moderate rain
166,Bethel,US,41.3712,-73.414,27.23,87,75,0.0,broken clouds
167,Samarai,PG,-10.6167,150.6667,27.38,70,59,5.39,broken clouds
168,Ust-Tsilma,RU,65.441,52.1498,15.36,97,39,2.32,light rain
169,Nioro,GM,13.35,-15.75,22.98,96,94,3.98,light rain
170,Saint-Joseph,RE,-21.3667,55.6167,18.21,79,2,2.34,clear sky
171,Souillac,MU,-20.5167,57.5167,17.21,94,40,2.57,scattered clouds
172,Aksu,CN,41.1231,80.2644,26.38,40,4,1.26,clear sky
173,Wundanyi,KE,-3.4019,38.364,11.01,91,61,2.68,broken clouds
174,Tura,IN,25.5198,90.2201,24.39,97,100,1.32,light rain
175,Meulaboh,ID,4.1363,96.1285,25.18,83,100,2.09,overcast clouds
176,Hirara,JP,24.8,125.2833,30.92,74,40,4.12,scattered clouds
